names,scores,logfoldchanges,pvals,pvals_adj
AAMP,2.147931,1.7646116,0.03209774463188464,0.9156220651946414
C16orf54,2.1475937,3.396005,0.032228648177237605,0.9156220651946414
EME2,2.1432686,1.874075,0.03247915232554198,0.9156220651946414
TMTC3,2.1373332,1.5863252,0.0329377181281628,0.9156220651946414
DNAJA1,2.136863,1.0466597,0.032926236078977406,0.9156220651946414
LONRF1,2.1351929,1.8654686,0.03313478620375157,0.9156220651946414
SERINC1,2.128205,1.0975735,0.03364180983657094,0.9156220651946414
RIPK1,2.1271358,1.2867352,0.03375462722629895,0.9156220651946414
ARID5B,2.1232038,0.964209,0.03404325835655262,0.9156220651946414
PSMB2,2.1223862,1.5686009,0.03417434288488208,0.9156220651946414
ZFYVE16,2.1184547,1.005063,0.03444973504930559,0.9156220651946414
TLR5,2.1153667,0.9539014,0.03470407134969713,0.9156220651946414
LCP2,2.112028,0.896446,0.03497234105824139,0.9156220651946414
TAF1D,2.1063583,0.8957818,0.035463899536362004,0.9156220651946414
ENPP2,2.1063187,2.3378234,0.03562770702475845,0.9156220651946414
EIF4EBP2,2.1061552,1.5391876,0.03557378532663851,0.9156220651946414
USP48,2.1029882,1.0041265,0.03578520244666688,0.9156220651946414
PPP2R4,2.1020248,1.336032,0.03591116675459899,0.9156220651946414
NDUFA3,2.1006181,3.230299,0.036163091415690025,0.9156220651946414
CDH3,2.0982647,2.640937,0.036349865709766414,0.9156220651946414
UFD1L,2.0964541,1.6029625,0.03643407760903504,0.9156220651946414
MTO1,2.0948446,1.3298589,0.0365460375593572,0.9156220651946414
PSEN1,2.093102,0.91630256,0.03664803052947795,0.9156220651946414
IRAK2,2.0897593,1.0290383,0.036967022431378206,0.9156220651946414
CCDC88A,2.0867548,0.93617487,0.0371931567804991,0.9156220651946414
NELL1,2.0843081,1.7764696,0.0375455732973063,0.9156220651946414
NFKBIA,2.0836883,0.9752542,0.03750984426229731,0.9156220651946414
IRF8,2.0828986,0.91068,0.037570496306482216,0.9156220651946414
ATP11C,2.0818083,0.9329502,0.037674190181630686,0.9156220651946414
HSD17B4,2.080369,0.9742979,0.03781362722861106,0.9156220651946414
KCNK13,2.076909,0.8873532,0.038107908674745325,0.9156220651946414
PTMA,2.0720456,0.9014407,0.03857066007428003,0.9156220651946414
ZCCHC6,2.0641577,0.8828129,0.039309842876752904,0.9156220651946414
PPIG,2.06397,0.8795464,0.03932183344787756,0.9156220651946414
MYH9,2.062891,0.9055432,0.039437738164514846,0.9156220651946414
MRPS25,2.0625722,1.1873357,0.03950373935186834,0.9156220651946414
CNTN2,2.062169,2.556728,0.03966376726280407,0.9156220651946414
DUSP7,2.0608492,2.5553393,0.039789589773946955,0.9156220651946414
LRRC16A,2.052984,0.8755967,0.040383921756598044,0.9156220651946414
CRTC2,2.0517166,2.0160928,0.04063951700095866,0.9156220651946414
CCDC57,2.0496836,1.2011826,0.04075791751726927,0.9156220651946414
SMCO4,2.047864,1.3335738,0.0409483486671499,0.9156220651946414
SUMO3,2.046363,1.8547622,0.04115132095738124,0.9156220651946414
CRLF1,2.0459523,1.2290169,0.0411222987153652,0.9156220651946414
COL8A2,2.044974,1.6342146,0.041268627289819025,0.9156220651946414
ACVR2B,2.0430598,2.2141798,0.04150414622797635,0.9156220651946414
PPWD1,2.0385299,1.3712867,0.04187869519601303,0.9156220651946414
GLMP,2.0383735,2.2061274,0.04197018874728636,0.9156220651946414
UROD,2.0341895,1.5418792,0.04233604153090359,0.9156220651946414
SELPLG,2.0329869,0.8918447,0.042373565016009314,0.9156220651946414
NDFIP2,2.0327723,1.7215636,0.042496989662178,0.9156220651946414
TTLL12,2.0288277,2.194964,0.04293554713118701,0.9156220651946414
NFKBIZ,2.0282094,1.2163835,0.042902467431059854,0.9156220651946414
WDSUB1,2.0259945,1.0656294,0.043116434080155086,0.9156220651946414
NFIL3,2.0257497,2.1893425,0.04325000348095507,0.9156220651946414
PKD1,2.0244713,1.5330783,0.0433267217233963,0.9156220651946414
MED21,2.0230827,1.9745443,0.043509506713567715,0.9156220651946414
LEO1,2.019766,1.9739103,0.04385357672072982,0.9156220651946414
RBM42,2.019258,2.4781637,0.04393704165623584,0.9156220651946414
ZFYVE1,2.0190752,1.2745941,0.04385350592281318,0.9156220651946414
SNTB2,2.0175397,1.969529,0.04408564104343807,0.9156220651946414
SUGP1,2.0169778,1.7050071,0.044121715157396116,0.9156220651946414
BCORL1,2.0158792,1.5220937,0.04421784119849297,0.9156220651946414
KAT2B,2.0156467,0.8912459,0.04416534457768101,0.9156220651946414
CCPG1,2.0147417,1.0061431,0.04427782676751725,0.9156220651946414
BAZ2A,2.0144079,0.97477096,0.04430545170639769,0.9156220651946414
RAB8A,2.0119863,1.6892161,0.0446440313822961,0.9156220651946414
GBP2,2.0110965,1.3495194,0.044701208892059426,0.9156220651946414
ARHGAP31,2.011053,0.8650413,0.0446272151142107,0.9156220651946414
PCSK1N,2.0105839,1.2017567,0.04474330690457948,0.9156220651946414
RPL34,2.0093272,0.9529074,0.04483970310384678,0.9156220651946414
CLEC1A,2.0071578,1.8042979,0.045167490761084,0.9156220651946414
IRF4,2.0066187,26.565306,0.04539887015382305,0.9156220651946414
PABPC3,2.0058696,26.560959,0.04547906495803772,0.9156220651946414
ZSCAN23,2.0058615,26.513737,0.045479940993974254,0.9156220651946414
SOX15,2.005861,26.581276,0.04547997594844446,0.9156220651946414
PRRT3,2.00585,26.500143,0.04548117155849254,0.9156220651946414
FADD,2.0055814,26.515823,0.04550995695681691,0.9156220651946414
MORN2,2.0053008,26.551228,0.04554005150722476,0.9156220651946414
IER5L,2.0052443,1.5943631,0.04535213499917376,0.9156220651946414
BAALC,2.0051293,26.662659,0.0455584312909855,0.9156220651946414
KIAA0232,2.004755,0.8712113,0.04531354327031275,0.9156220651946414
SERPING1,2.0046985,1.951079,0.04544356426824986,0.9156220651946414
CCL4L2,2.0046725,26.487574,0.04560747633007879,0.9156220651946414
ALG10,2.004652,26.571365,0.045609686442894364,0.9156220651946414
GADD45G,2.003679,26.589956,0.04571429863674565,0.9156220651946414
ANGPTL6,2.0032277,26.588768,0.04576287864642139,0.9156220651946414
ZKSCAN8,2.0022905,2.146861,0.04571548407019459,0.9156220651946414
H1FX,2.0021,1.8020028,0.04571035931879538,0.9156220651946414
ADGRD1,2.0020072,1.6827484,0.045708625116229196,0.9156220651946414
POMZP3,2.0012715,1.7976372,0.0457992279260888,0.9156220651946414
